product_id,product_name,price,month,number_of_purchases,unique_customers,total_revenue,arpu
USG_1110010,Hayyak Liberty Weekly,0.5,2026-03,4068,1805,2020.5956,1.11944355
USG_1110010,Hayyak Liberty Weekly,0.5,2026-04,4002,1774,1986.3841,1.11972046
USG_1110010,Hayyak Liberty Weekly,0.5,2026-05,3979,1678,1978.4334,1.17904255
USG_1110010,Hayyak Liberty Weekly,0.5,2026-06,3671,1630,1823,1.11840491
USG_1110010,Hayyak Liberty Weekly,0.5,2026-07,3535,1581,1754.5,1.10974067
USG_1110010,Hayyak Liberty Weekly,0.5,2026-08,3355,1493,1667,1.11654387
USG_1110190,Hayyak Plus Unlimited National Voice 2 RO Weekly,2,2026-03,10812,4917,16229.7936,3.30075119
USG_1110190,Hayyak Plus Unlimited National Voice 2 RO Weekly,2,2026-04,10795,4963,16173.1884,3.25875245
USG_1110190,Hayyak Plus Unlimited National Voice 2 RO Weekly,2,2026-05,11037,5067,16536.9338,3.2636538
USG_1110190,Hayyak Plus Unlimited National Voice 2 RO Weekly,2,2026-06,10035,4734,15023.0183,3.17343014
USG_1110190,Hayyak Plus Unlimited National Voice 2 RO Weekly,2,2026-07,8504,3984,12738.0449,3.19730043
USG_1110190,Hayyak Plus Unlimited National Voice 2 RO Weekly,2,2026-08,7187,3732,10771.6459,2.88629311
USG_1120010,IDD Voucher - Standard,0.951,2026-03,76815,29414,73051.065,2.48354746
USG_1120010,IDD Voucher - Standard,0.951,2026-04,77233,28740,73448.583,2.55562223
USG_1120010,IDD Voucher - Standard,0.951,2026-05,78447,28919,74603.097,2.57972603
USG_1120010,IDD Voucher - Standard,0.951,2026-06,71469,27320,67967.019,2.48781182
USG_1120010,IDD Voucher - Standard,0.951,2026-07,72698,26898,69135.896,2.57029876
USG_1120010,IDD Voucher - Standard,0.951,2026-08,55999,23412,53255.049,2.27469029
USG_1120380,Marhaba World 50Minutes to BANGLADESH,1,2026-03,1847,1177,1827.2828,1.55249176
USG_1120380,Marhaba World 50Minutes to BANGLADESH,1,2026-04,1926,1228,1902.8991,1.5495921
USG_1120380,Marhaba World 50Minutes to BANGLADESH,1,2026-05,1899,1184,1874.4618,1.5831603
USG_1120380,Marhaba World 50Minutes to BANGLADESH,1,2026-06,1775,1197,1750.2956,1.46223525
USG_1120380,Marhaba World 50Minutes to BANGLADESH,1,2026-07,1693,1108,1666.7689,1.50430406
USG_1120380,Marhaba World 50Minutes to BANGLADESH,1,2026-08,1348,977,1326.1632,1.35738301
USG_1120390,Marhaba World 50Minutes to INDIA,1,2026-03,2431,1449,2376.3934,1.64002305
USG_1120390,Marhaba World 50Minutes to INDIA,1,2026-04,2361,1379,2303.9669,1.67075192
USG_1120390,Marhaba World 50Minutes to INDIA,1,2026-05,2954,1694,2873.1542,1.69607686
USG_1120390,Marhaba World 50Minutes to INDIA,1,2026-06,2709,1668,2633.2875,1.57870953
USG_1120390,Marhaba World 50Minutes to INDIA,1,2026-07,2979,1772,2891.4911,1.63176699
USG_1120390,Marhaba World 50Minutes to INDIA,1,2026-08,2384,1589,2312.0882,1.45505865
USG_1120400,Marhaba World 50Minutes to PAKISTAN,1,2026-03,17508,6886,17229.5319,2.50211035
USG_1120400,Marhaba World 50Minutes to PAKISTAN,1,2026-04,16436,6275,16159.1889,2.57516955
USG_1120400,Marhaba World 50Minutes to PAKISTAN,1,2026-05,19219,7498,18878.6617,2.51782631
USG_1120400,Marhaba World 50Minutes to PAKISTAN,1,2026-06,20139,7475,19790.8172,2.64760096
USG_1120400,Marhaba World 50Minutes to PAKISTAN,1,2026-07,23307,7847,22874.4789,2.91506039
USG_1120400,Marhaba World 50Minutes to PAKISTAN,1,2026-08,19614,7134,19219.7044,2.6940993
USG_1120410,Marhaba World 30Minutes to INDONESIA,1,2026-03,74,28,73.6192,2.62925714
USG_1120410,Marhaba World 30Minutes to INDONESIA,1,2026-04,57,28,56.524,2.01871429
USG_1120410,Marhaba World 30Minutes to INDONESIA,1,2026-05,45,22,44.524,2.02381818
USG_1120410,Marhaba World 30Minutes to INDONESIA,1,2026-06,49,25,48.5716,1.942864
USG_1120410,Marhaba World 30Minutes to INDONESIA,1,2026-07,54,24,53.7144,2.2381
USG_1120410,Marhaba World 30Minutes to INDONESIA,1,2026-08,38,22,37.7144,1.71429091
USG_1120420,Marhaba World 14Minutes to SRI LANKA,1,2026-03,238,99,233.1448,2.35499798
USG_1120420,Marhaba World 14Minutes to SRI LANKA,1,2026-04,182,98,178.6204,1.82265714
USG_1120420,Marhaba World 14Minutes to SRI LANKA,1,2026-05,243,96,237.288,2.47175
USG_1120420,Marhaba World 14Minutes to SRI LANKA,1,2026-06,252,106,245.0028,2.31134717
USG_1120420,Marhaba World 14Minutes to SRI LANKA,1,2026-07,224,102,218.8116,2.14521176
