product_id,product_name,price,validity_in_days,product_type,unit_in_mb,units_minutes,type,units_sms,dial,owner,message_english,message_arabic,ui_product_id,ui_msg_id,product_flag,product_feature,channel,autobonus,whitelist
USG_1274270,Roaming Pass - Baqati Platinum,1.000,30.000,ROAMING,4096.000,30.000,Addon,0.000,*171*460#,Omantel,"Premium Roaming! Get Baqati Platinum Pass: 4GB data, 30min for Current Month, just 1.0 RO. Limited-time offer! Grab it now! Dial *171*460#",اغتنم الفرصة! باقة بلاتينيوم للتجوال من عمانتل: 4GB و30 دقيقة بـ1ر.ع فقط لنهاية الشهر. سارع واطلب #460*171#.,8849,2530,ATL,0,SMS,online,yes
USG_1221840,Zong-2000 min-monthly,5.000,30.000,VOICE,0.000,2000.000,Addon,0.000,*171*424#,Omantel,"Don't miss out! Grab Zong 2000 Min: Get 2000 mins for 30 days, just RO 5. Limited-time offer! Hurry! Dial *171*424# now!",باقة Zong-2000 من Omantel! احصل على 2000 دقيقة بـ 5 ر.ع. فقط لـ 30 يوم. عرض محدود! سارع بالاشتراك: *171*424#,8512,2018,ATL,0,SMS,online,yes
USG_1247510,Baqati Bronze - Booster - 14GB,1.000,30.000,DATA,14336.000,,Addon,0.000,*171*434#,Omantel,,,,,BTL,,SMS,online,no
USG_1243730,5 OMR-Unlimited-Weekly,5.000,7.000,DATA,99999.000,0.000,Addon,0.000,*171*410#,Omantel,"Hurry! Get the 5 OMR-Unlimited-Weekly DATA for Unlimited GB over 7 days, just 5 RO. Don't miss out! Dial *171*410# now.",حصرياً! بيانات لا محدودة لمدة 7 أيام بـ 5 ر.ع فقط! اغتنم الفرصة الآن. اطلب *171*410# ولا تفوت العرض!,8498,2004,ATL,0,SMS,online,yes
USG_1273270,Jawazak world - Summer Promo Add on,7.000,14.000,ROAMING,10240.000,100.000,Addon,0.000,*171*419#,Omantel,"Jawazak World Summer ROAMING Add-on! Get 10GB for 7.0 RO, valid 14 days. Limited-time offer! Dial *171*419# & travel premium. Grab it now!",حصرياً من عمانتل! جوازك عالمي: 10GB تجوال بـ 7 ر.ع. لـ 14 يوم. عرض صيف لا يُفوّت! سارع واطلب *171*419# الآن!,8507,2013,ATL,Jawazak world,SMS,online,yes
USG_1220770,2-OMR-50 Min-Non Auto renewal,2.000,30.000,VOICE,0.000,50.000,Addon,0.000,*171*403#,Omantel,"Don't miss our 2-OMR-50 Min-Non Auto renewal VOICE offer! Get 50 mins for 30 days, just 2 RO. Limited-time! Dial *171*403# now!",عرض عمانتل الذهبي! 50 دقيقة بـ 2 ر.ع فقط، صلاحية 30 يوم. لا تفوت فرصة هذا العرض المحدود! اشترك الآن: *171*403#,8491,1997,ATL,Non Auto renewal,SMS,online,yes
USG_1222010,Jawazak Voice - 5,5.000,7.000,ROAMING,0.000,50.000,Addon,0.000,*171*464#,Omantel,"Elevate your ROAMING! Get Jawazak Voice - 5: 50 min for just 5.0 RO, valid 7 days. Grab it now! Dial *171*464#. Limited offer!",عرض حصري من Omantel! باقة جوازك الصوتي 5 للتجوال: 50 دقيقة بـ 5 ر.ع. صالح 7 أيام. سارع واطلب *171*464#! لا تفوت الفرصة!,8853,2534,ATL,0,SMS,online,yes
USG_1274200,Data Rollover - Bronze+,1.000,30.000,DATA,,,Addon,0.000,*171*453#,Omantel,,,,,ATL,,SMS,online,no
USG_1222040,Postpaid BTL GCC voice roaming - 100 mins - 7 days - 2 OMR,2.000,7.000,ROAMING,0.000,100.000,Addon,0.000,*171*432#,Omantel,"Hurry! Grab premium GCC Voice ROAMING: 100 mins, 7 days for just 2 RO. Limited offer! Dial *171*432# now! Don't miss out!",باقة تجوال GCC الصوتي من عمانتل! 100 دقيقة بـ 2 ر.ع فقط لـ 7 أيام. عرض محدود! لا تفوت الفرصة، سارع واشترك الآن: *171*432#,8843,2523,BTL,GCC voice roaming,SMS,online,yes
USG_1230130,Postpaid Unlimited - National SMS,2.000,0.000,SMS,0.000,0.000,Addon,99999.000,*171*455#,Omantel,"Omantel: Unlock unlimited National SMS! Get the Postpaid Unlimited SMS Addon for just 2 RO/month. Hurry, dial *171*455# !",رسائل وطنية بلا حدود من عمانتل بـ 2 ر.ع. فقط! سارع بالاشتراك عبر *171*455# ولا تفوت الفرصة!,0,0,ATL,0,SMS,online,yes
