id,bundle_type,product_id,product_name,price,product_type,unit_in_mb,validity_in_days,type,units_minutes,units_sms,data,data_social,min,min_flex,idd,dial,owner,message_english,message_arabic,ui_product_id,ui_msg_id,offer_type,whitelist,autobonus,channel,product_status,confirmation_message_id,autobonus_autopilot
81,Marhaba World,USG_1120530,Marhaba World 13Minutes to SUDAN,1.000,IDD,0.000,7.000,Addon,13.000,0.000,0,0.000,0,0.000,13.000,,Omantel,"""Unlock the world with Marhaba World bundle at just 1.0 RO! Enjoy 7 days of global connectivity with 13.0 min IDD calls. Dial *171# now! #Omantel""",استمتع بعرض استثنائي! حزمة مرحبا العالم بسعر 1.0 ريال عماني لمدة 7 أيام. 13 دقيقة للمكالمات الدولية. اتصل عبر *171#. احجز العرض الآن من Omantel.,8034,768,ATL,yes,offline,SMS,active,,no
89,IDD,USG_1170580,IDD Bangladesh 100 Min 200 MB 30 Days 2 RO pack,2.000,IDD,204.800,30.000,Addon,100.000,0.000,0.2,0.000,0,0.000,100.000,,Omantel,Jump into savings with our amazing IDD bundle at just 2.1 RO for 30 days! Enjoy 100 min of IDD calls with Omantel. Dial *171# now!,استمتع بعرض رائع! باقة دولية من Omantel بسعر 2.1 ريال عماني لمدة 30 يومًا لـ 100 دقيقة دولية. اتصل الآن باستخدام *171# واستمتع بالعرض.,8071,786,ATL,yes,offline,SMS,active,,no
129,Unlimited Data,USG_1141690,Unlimited Data ? 24 Hours ? 3 OR,3.000,DATA,9999999.999,1.000,Addon,0.000,0.000,999999,0.000,0,0.000,0.000,,Omantel,"""Unleash the power of Unlimited Data for just 3.0 RO! Stay connected with Omantel's top-notch coverage. Dial *171# now and enjoy endless possibilities!""",استمتع بعرض لا محدود! احصل على باقة بيانات غير محدودة بسعر 3.0 ريال عماني لمدة يوم واحد فقط مع Omantel. اتصل على *171# واستمتع بالإنترنت بدون ح,8059,791,ATL,yes,offline,SMS,active,,no
88,Marhaba World,USG_1120390,Marhaba World 50Minutes to INDIA,1.000,IDD,0.000,7.000,Addon,50.000,0.000,0,0.000,0,0.000,50.000,,Omantel,"Hey there! Explore the world with Marhaba World bundle by Omantel for just 1.0 RO. Get 50.0 min IDD, Data, and more! Dial *171#. Don't miss out! #TravelMore",احصل على باقة Marhaba World من Omantel بسعر مغري 1.0 RO لـ7 أيام! تتضمن 50 دقيقة IDD والمزيد. اتصل برمز *171# واستفد الآن.,8068,780,ATL,yes,offline,SMS,active,,no
50,Hayyak Plus,USG_1170600,New Hayyak 15 RO,15.000,COMBO,45056.000,30.000,Master,110350.000,0.000,44,0.000,110350,0.000,0.000,,Omantel,"Dial *171# & grab Omantel's exciting Hayyak Plus bundle for just 15 RO. Get 44GB Data, 110350 min, & more! Don't miss out on this amazing offer!",استمتع بالعرض العشوائي! احصل على باقة Hayyak Plus بسعر 15 ر.ع لمدة 30 يوم، تتضمن 44 جيجابايت و 110350 دقيقة. اتصل الآن عبر *171# مع Omantel.,7958,1346,ATL,yes,offline,SMS,inactive,,no
64,Hayyak Extra,USG_1150250,Hayyak Extra - 20% Extra Topup - 20 days,5.000,NV,0.000,20.000,Addon,0.000,0.000,0,0.000,0,0.000,0.000,,Omantel,Hurry now! Enjoy Omantel's Hayyak Extra bundle for just 5.0 RO. Get 20.0 days validity with NV product. Dial *171# to subscribe. Don't miss out!,استمتع بعرض جديد من Omantel! احصل على باقة Hayyak Extra بسعر مذهل 5.0 ريال عماني لمدة 20 يوماً. اتصالات داتا، داتا اجتماعية، والمزيد! اطلب الآن عبر *,8025,759,ATL,yes,offline,SMS,active,,no
109,Hayyak BTL Weekly,7859,10GB + 50 flexi min for 5 RO,5.000,COMBO,10240.000,7.000,Addon,50.000,0.000,10,0.000,50,0.000,0.000,*171*823#,Omantel,"Get your groove on with Hayyak BTL Weekly bundle for just 5.0 RO! Enjoy 10.0 GB Data, 50 min, and a COMBO of benefits. Dial *171*823# now! Don't miss out!",استمتع بعرض Hayyak BTL Weekly بسعر 5.0 ر.ع. فقط! 10.0GB Data، 50 دقيقة و 7 أيام صلاحية. اتصل *171*823# واحصل عليه الآن من Omantel!,7859,2569,BTL,yes,online,SMS,active,,online
111,Hayyak BTL,7869,Monthly 24GB and 350 Flexi minutes,12.000,COMBO,24576.000,28.000,Addon,350.000,0.000,24,0.000,350,0.000,0.000,*171*822#,Omantel,"""Hey there! Don't miss out on the amazing Hayyak BTL deal from Omantel! Get 24.0GB data, 350 min, for just 12.0 RO. Dial *171*822# now! Stay connected!""",استمتع بعرض مذهل! احصل على باقة Hayyak BTL بسعر 12.0 ريال عماني لمدة 28 يوماً مع 24.0 جيجابايت بيانات و350 دقيقة. اتصل برمز *171*822#. - Omantel,7869,2576,BTL,yes,online,SMS,active,,online
118,Combo BTL Monthly,7849,RO6 - 13GB and 300 Minutes,6.000,COMBO,13312.000,28.000,Addon,300.000,0.000,13,0.000,300,0.000,0.000,,Omantel,"Don't miss out on this amazing deal! Get Combo BTL Monthly at just 6.0 RO with 13.0GB Data, 300 min, and validity for 28 days. Dial *171# now! Grab it from Omantel.",استمتع بالعرض الرائع! حزمة Combo BTL Monthly بسعر 6.0 ريال عماني فقط، مع 13.0 جيجابايت، 300 دقيقة والمزيد. اتصل بـ *171# الآن. - Omantel,7849,2559,BTL,yes,online,SMS,inactive,,online
158,Hayyak Plus,USG_1170500,Hayyak Plus 10,10.000,COMBO,24576.000,30.000,Master,110200.000,0.000,24,0.000,110200,0.000,0.000,,Omantel,"""Unleash the power of Hayyak Plus bundle for only 10 RO! Get 24.0 GB data, 110200 min, and more! Dial *171# now! Offer by Omantel. Grab it today!""",استمتع بعرض رائع! باقة هياك بلس بسعر 10 ريال لمدة 30 يوماً. تشمل 24 جيجابايت و110200 دقيقة وحدود إنترنت والمزيد. اتصل الآن بـ *171#. OmanTel,7827,1345,ATL,yes,offline,SMS,inactive,,no
134,Unlimited Data,USG_1141670,Unlimited Data ? 3 Hours ? 1 OR,1.000,DATA,9999999.999,0.125,Addon,0.000,0.000,999999,0.000,0,0.000,0.000,,Omantel,"Unleash the power of unlimited data for just 1.0 RO with Omantel's Data bundle! Stay connected, stream endlessly and enjoy seamless browsing. Dial *171# now!",استمتع بالعرض المذهل! باقة بيانات غير محدودة مقابل 1.0 ريال عماني فقط لمدة 0.125 يوم. اتصالات غير محدودة! اتصل الآن باستخدام *171#. Omantel.,8052,792,ATL,yes,offline,SMS,active,,no
